*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
KBO,2014 TZ85,0,223 km,43.509 AU,0.253,14.88°,334°,317.16°,150°,?,,,,,,,,,,,,1098,14
KBO,2014 DE143,0,139 km,43.519 AU,0.009,6.463°,150°,164.112°,222°,?,,,,,,,,,,,,1099,14
KBO,Borasisi,1,63 km,43.555 AU,0.086,0.563°,194.98°,84.722°,60.025°,2.1 g/cm3,,,,,,,,,,,,1100,14
*,☾,Pabu,53 km,"4,528 km",0.47,?,,,,?,,,,,,,,,,,,1101,14
KBO,2000 FD8,0,96 km,43.576 AU,0.219,19.5°,81.9°,184.9°,316.4°,?,,,,,,,,,,,,1102,14
KBO,2013 BN82,0,92 km,43.581 AU,0.209,6.61°,277.37°,193.62°,20.245°,?,,,,,,,,,,,,1103,14
KBO,2014 WB509,0,107 km,43.62 AU,0.213,9.74°,89.04°,354.8°,337.3°,?,,,,,,,,,,,,1104,14
KBO,2010 VW224,0,159 km,43.627 AU,0.142,8.917°,148.8°,102.348°,186.86°,?,,,,,,,,,,,,1105,14
KBO,2002 PQ145,0,109 km,43.64 AU,0.051,3.08°,314.8°,165.7°,204.6°,?,,,,,,,,,,,,1106,14
CEN,2009 XM26,0,73 km,43.641 AU,0.422,21.585°,145.898°,282.246°,29.967°,?,,,,,,,,,,,,1107,10
KBO,2016 FW59,0,136 km,43.65 AU,0.063,6.29°,28°,290.16°,231°,?,,,,,,,,,,,,1108,14
KBO,2005 PM21,0,106 km,43.68 AU,0.135,28.484°,349.965°,350.777°,0.009°,?,,,,,,,,,,,,1109,14
KBO,2005 XU100,0,116 km,43.69 AU,0.105,7.84°,105°,318.41°,70.7°,?,,,,,,,,,,,,1110,14
🝾,Quaoar,1,545 km,43.694 AU,0.041,7.99°,147.48°,188.927°,301.104°,1.715 g/cm3,,,,,,,,,,,,1111,13
*,☾,Weywot,100 km,"13,289 km",0.056,15.8°,,,,?,,,,,,,,,,,,1112,13
KBO,2003 QW90,0,227 km,43.695 AU,0.074,10.379°,88.565°,17.733°,265.134°,?,,,,,,,,,,,,1113,14
KBO,2001 QY297,1,94 km,43.697 AU,0.084,1.548°,123.591°,108.776°,84.415°,0.92 g/cm3,,,,,,,,,,,,1114,14
*,☾,S/2007 (275809) 1,77 km,"9,960 km",0.418,?,,,,?,,,,,,,,,,,,1115,14
KBO,Manwë,1,73 km,43.713 AU,0.113,2.667°,20.173°,68.494°,285.002°,0.8 g/cm3,,,,,,,,,,,,1116,14
*,☾,Thorondor,54 km,"6,674 km",0.563,?,,,,?,,,,,,,,,,,,1117,14
KBO,2014 FT71,0,245 km,43.725 AU,0.137,27.85°,354°,346.3°,226°,?,,,,,,,,,,,,1118,14
KBO,2012 TF324,0,102 km,43.745 AU,0.118,7.882°,92.534°,318.535°,349.578°,?,,,,,,,,,,,,1119,14
KBO,1999 CD158,0,155 km,43.775 AU,0.145,25.486°,143.51°,119.03°,250.48°,?,,,,,,,,,,,,1120,14
KBO,2013 SK102,0,119 km,43.79 AU,0.176,7.407°,152.64°,66.44°,144.4°,?,,,,,,,,,,,,1121,14
KBO,2012 YF12,0,133 km,43.832 AU,0.141,28.172°,10.384°,153.52°,305.464°,?,,,,,,,,,,,,1122,14
KBO,2005 NV125,0,101 km,43.84 AU,0.226,13.34°,326.67°,302.001°,36.11°,?,,,,,,,,,,,,1123,14
KBO,2006 QC181,0,110 km,43.844 AU,0.127,22.625°,5.39°,177.776°,180.086°,?,,,,,,,,,,,,1124,14
KBO,Teharonhiawako,1,91 km,43.845 AU,0.032,2.583°,236.43°,304.78°,158.44°,1.15 g/cm3,,,,,,,,,,,,1125,14
*,☾,Sawiskera,65 km,"27,670 km",0.249,?,,,,?,,,,,,,,,,,,1126,14
KBO,2011 UE412,0,98 km,43.85 AU,0.113,22.82°,4.22°,218.11°,172°,?,,,,,,,,,,,,1127,14
KBO,2014 LR28,0,133 km,43.857 AU,0.581,1.469°,20.16°,146.72°,150.5°,?,,,,,,,,,,,,1128,14
KBO,2014 FU71,0,115 km,43.861 AU,0.087,2.907°,329.8°,253°,351.8°,?,,,,,,,,,,,,1129,14
KBO,2014 GU53,0,163 km,43.864 AU,0.176,23.485°,115.98°,178.52°,323.1°,?,,,,,,,,,,,,1130,14
KBO,2015 BT518,0,150 km,43.874 AU,0.055,8.087°,60.3°,101.606°,45.1°,?,,,,,,,,,,,,1131,14
KBO,2014 GZ53,0,124 km,43.894 AU,0.035,5.92°,136.09°,82.555°,3.27°,?,,,,,,,,,,,,1132,14
KBO,2014 YC50,0,116 km,43.896 AU,0.15,18.376°,76.53°,84.509°,345.115°,?,,,,,,,,,,,,1133,14
KBO,2014 MA70,0,137 km,43.906 AU,0.088,4.27°,93.64°,200.257°,39.915°,?,,,,,,,,,,,,1134,14
KBO,2015 AQ293,0,148 km,43.91 AU,0.207,32.96°,113.38°,199.95°,113.7°,?,,,,,,,,,,,,1135,14
KBO,Albion,0,54 km,43.925 AU,0.071,2.18°,0.777°,359.276°,34.041°,?,,,,,,,,,,,,1136,14
KBO,2015 BP518,0,126 km,43.95 AU,0.182,10.15°,2.59°,104.85°,63.88°,?,,,,,,,,,,,,1137,14
KBO,2014 WH509,0,210 km,43.951 AU,0.177,18.17°,322.9°,76.45°,64.26°,?,,,,,,,,,,,,1138,14
KBO,2000 OH67,0,106 km,43.98 AU,0.017,5.628°,188.5°,77.83°,69.01°,?,,,,,,,,,,,,1139,14
KBO,2008 NW4,0,175 km,44 AU,0.187,23.15°,41.2°,285.12°,356.5°,?,,,,,,,,,,,,1140,14
KBO,2010 VV224,0,135 km,44 AU,0.155,25.13°,216.56°,225.2°,342.88°,?,,,,,,,,,,,,1141,14
KBO,2011 LJ29,0,116 km,44.015 AU,0.076,2.44°,133.2°,8.17°,106.67°,?,,,,,,,,,,,,1142,14
KBO,2013 RE109,0,116 km,44.02 AU,0.151,5.41°,168.4°,112.82°,81.57°,?,,,,,,,,,,,,1143,14
KBO,2005 SF278,1,71 km,44.05 AU,0.193,13.33°,320.29°,101.6°,0.07°,?,,,,,,,,,,,,1144,14
*,☾,S/2014 (525816) 1,63 km,"10,275 km",?,?,,,,?,,,,,,,,,,,,1145,14
KBO,2005 EH305,0,116 km,44.056 AU,0.089,7.47°,177.096°,190.302°,180.23°,?,,,,,,,,,,,,1146,14
KBO,2013 TC172,0,142 km,44.06 AU,0.046,7.45°,150.6°,291.95°,281.5°,?,,,,,,,,,,,,1147,14
KBO,2003 UX292,0,107 km,44.061 AU,0.124,10.458°,347.199°,46.185°,0.053°,?,,,,,,,,,,,,1148,14
KBO,2002 GJ32,0,163 km,44.088 AU,0.108,11.6°,252.3°,244.8°,79.4°,?,,,,,,,,,,,,1149,14
KBO,Sila,1,125 km,44.116 AU,0.017,2.241°,222.597°,304.342°,331.884°,0.72 g/cm3,,,,,,,,,,,,1150,14
*,☾,Nunam,118 km,"2,777 km",0.02,?,,,,?,,,,,,,,,,,,1151,14
KBO,2014 CO23,0,188 km,44.14 AU,0.174,7.911°,51.63°,20.41°,51.63°,?,,,,,,,,,,,,1152,14
KBO,2014 NZ65,0,133 km,44.157 AU,0.174,28.771°,276.064°,342.888°,67.35°,?,,,,,,,,,,,,1153,14
KBO,2002 XH91,1,129 km,44.16 AU,0.846,4.98°,183°,80.44°,213.8°,?,,,,,,,,,,,,1154,14
*,☾,S/2009 (524531) 1,80 km,"22,430 km",?,?,,,,?,,,,,,,,,,,,1155,14
KBO,2004 PA108,0,94 km,44.19 AU,0.048,1.156°,213.3°,136.36°,15.9°,?,,,,,,,,,,,,1156,14
KBO,2014 LT28,0,152 km,44.192 AU,0.068,10.03°,196.4°,63.73°,33.96°,?,,,,,,,,,,,,1157,14
KBO,Altjira,1,123 km,44.224 AU,0.06,5.206°,297.71°,2.013°,124.29°,0.3 g/cm3,,,,,,,,,,,,1158,14
*,☾,S/2007 (148780) 1,111 km,"9,904 km",0.345,?,,,,?,,,,,,,,,,,,1159,14
KBO,2014 UQ224,1,128 km,44.266 AU,0.054,1.944°,225.32°,16.57°,194.21°,?,,,,,,,,,,,,1160,14
*,☾,S/2015 (534625) 1,81 km,"13,000 km",?,?,,,,?,,,,,,,,,,,,1161,14
KBO,2013 EJ154,0,155 km,44.29 AU,0.11,9.77°,97°,290.3°,147.7°,?,,,,,,,,,,,,1162,14
KBO,2000 CJ105,0,144 km,44.3 AU,0.103,11.56°,229.7°,154.14°,147°,?,,,,,,,,,,,,1163,14
KBO,2014 QW441,0,223 km,44.303 AU,0.11,28.75°,204.79°,162.67°,3.115°,?,,,,,,,,,,,,1164,14
KBO,2014 WY509,0,151 km,44.31 AU,0.174,11.47°,313.8°,298.86°,280.9°,?,,,,,,,,,,,,1165,14
KBO,2004 PY111,0,107 km,44.317 AU,0.084,10.262°,191.982°,124.754°,0.061°,?,,,,,,,,,,,,1166,14
KBO,2005 LA54,0,120 km,44.35 AU,0.067,7.916°,196.15°,70.66°,350.1°,?,,,,,,,,,,,,1167,14
KBO,2002 PR170,0,77 km,44.358 AU,0.082,0.856°,191.439°,23.145°,129.455°,?,,,,,,,,,,,,1168,14
KBO,Deucalion,0,87 km,44.395 AU,0.067,0.372°,237.36°,51.363°,307.41°,?,,,,,,,,,,,,1169,14
KBO,1998 WW31,0,74 km,44.477 AU,0.091,6.817°,51.218°,237.138°,141.847°,?,,,,,,,,,,,,1170,14
KBO,2000 CP104,0,118 km,44.5 AU,0.097,9.46°,145°,130.53°,260°,?,,,,,,,,,,,,1171,14
KBO,2012 BZ159,0,111 km,44.548 AU,0.144,7.271°,5.139°,173.28°,0.264°,?,,,,,,,,,,,,1172,14
KBO,2003 YO179,0,148 km,44.568 AU,0.138,19.4°,66.1°,66.95°,324.2°,?,,,,,,,,,,,,1173,14
KBO,2002 GD32,0,152 km,44.57 AU,0.135,6.578°,25.97°,22.145°,319.8°,?,,,,,,,,,,,,1174,14
KBO,Arrokoth,0,9 km,44.581 AU,0.042,2.451°,174.418°,158.998°,316.551°,0.33 g/cm3,,,,,,,,,,,,1175,14
KBO,2015 GO50,0,113 km,44.6 AU,0.14,16.369°,236°,283.63°,19°,?,,,,,,,,,,,,1176,14
KBO,2010 JF210,0,138 km,44.63 AU,0.06,7.924°,202.8°,342°,324.59°,?,,,,,,,,,,,,1177,14
KBO,2007 RN314,0,111 km,44.632 AU,0.042,22.498°,324.729°,198.673°,179.867°,?,,,,,,,,,,,,1178,14
KBO,2014 OD394,0,176 km,44.711 AU,0.088,11.239°,84.43°,130.11°,158.99°,?,,,,,,,,,,,,1179,14
KBO,2014 WP509,0,295 km,44.714 AU,0.087,8.34°,338.46°,66.79°,45.998°,?,,,,,,,,,,,,1180,14
KBO,2015 BW518,0,108 km,44.72 AU,0.15,9.25°,98.11°,35.59°,10.14°,?,,,,,,,,,,,,1181,14
KBO,2004 PV107,0,145 km,44.741 AU,0.128,31.971°,184.162°,342.207°,181.334°,?,,,,,,,,,,,,1182,14
KBO,2006 QV180,0,111 km,44.788 AU,0.012,14.152°,19.653°,119.11°,180.351°,?,,,,,,,,,,,,1183,14
KBO,2014 FY71,0,189 km,44.79 AU,0.241,18.55°,244°,241.8°,44.7°,?,,,,,,,,,,,,1184,14
KBO,2000 CN105,0,114 km,44.801 AU,0.095,3.4°,12.24°,28.94°,129.814°,?,,,,,,,,,,,,1185,14
KBO,2004 VS75,0,89 km,44.84 AU,0.106,7.36°,70.16°,23.48°,14.4°,?,,,,,,,,,,,,1186,14
KBO,2003 QA91,1,99 km,44.885 AU,0.066,2.413°,328.8°,104.6°,278.5°,?,,,,,,,,,,,,1187,14
*,☾,S/2007 (469514) 1,90 km,"1,594 km",?,?,,,,?,,,,,,,,,,,,1188,14
KBO,2004 PB108,0,123 km,44.96 AU,0.109,22.24°,275.1°,147.49°,303.2°,?,,,,,,,,,,,,1189,14
KBO,2004 PU107,0,90 km,44.992 AU,0.033,4.985°,111.705°,23.329°,181.309°,?,,,,,,,,,,,,1190,14
CEN,2006 HS122,0,92 km,45.006 AU,0.373,4.294°,298.633°,18.118°,307.081°,?,,,,,,,,,,,,1191,10
KBO,Mbabamwana(..),0,119 km,45.06 AU,0.14,5.785°,270.75°,0.554°,321.82°,?,,,,,,,,,,,,1192,14
KBO,2014 WF509,0,149 km,45.093 AU,0.09,7.083°,183.07°,177.37°,51.93°,?,,,,,,,,,,,,1193,14
KBO,2010 VQ11,0,147 km,45.11 AU,0.14,13.3°,213.6°,174.59°,41.9°,?,,,,,,,,,,,,1194,14
KBO,2014 DM143,0,173 km,45.14 AU,0.085,10.74°,267.8°,67.4°,224.4°,?,,,,,,,,,,,,1195,14
KBO,2010 SS43,0,145 km,45.14 AU,0.216,34.53°,111.8°,341.48°,314.8°,?,,,,,,,,,,,,1196,14
KBO,2010 TP182,0,109 km,45.14 AU,0.18,9.7°,233°,209.95°,327°,?,,,,,,,,,,,,1197,14
KBO,2000 QK252,0,121 km,45.15 AU,0.197,7.688°,347.332°,141.509°,180.078°,?,,,,,,,,,,,,1198,14
KBO,2001 KU76,0,106 km,45.175 AU,0.166,10.637°,204.39°,44.987°,354.46°,?,,,,,,,,,,,,1199,14
KBO,2015 PF312,0,133 km,45.2 AU,0.089,17.981°,258.75°,160.53°,348.16°,?,,,,,,,,,,,,1200,14
KBO,2003 UZ291,0,100 km,45.23 AU,0.135,5.339°,315.7°,225.86°,263.2°,?,,,,,,,,,,,,1201,14
KBO,2015 SP20,0,121 km,45.25 AU,0.107,3.088°,122.78°,99.1°,107.85°,?,,,,,,,,,,,,1202,14
KBO,2003 GF55,0,115 km,45.31 AU,0.055,5.96°,283°,163.65°,139°,?,,,,,,,,,,,,1203,14
KBO,2007 FM51,0,100 km,45.319 AU,0.162,29.22°,340.44°,106.6°,78.45°,?,,,,,,,,,,,,1204,14
KBO,2001 CZ31,0,152 km,45.339 AU,0.122,10.2°,46.7°,136.2°,332.5°,?,,,,,,,,,,,,1205,14
KBO,2013 NM24,0,121 km,45.35 AU,0.164,30.67°,81.9°,335.27°,290°,?,,,,,,,,,,,,1206,14
KBO,2002 PJ149,0,188 km,45.359 AU,0.076,9.661°,193.476°,316.403°,180.66°,?,,,,,,,,,,,,1207,14
KBO,2010 KZ39,0,299 km,45.395 AU,0.054,26.032°,313.91°,53.118°,256.31°,?,,,,,,,,,,,,1208,14
🝼,Makemake,1,715 km,45.43 AU,0.161,28.984°,294.834°,79.62°,165.514°,1.67 g/cm3,,,,,,,,,,,,1209,13
*,☾,S/2015 (136472) 1,88 km,"21,000 km",?,?,,,,?,,,,,,,,,,,,1210,13
KBO,2014 MC70,0,127 km,45.483 AU,0.133,7.68°,281.91°,25.611°,11.67°,?,,,,,,,,,,,,1211,14
KBO,2011 BQ170,0,116 km,45.504 AU,0.174,9.32°,351.57°,207.17°,347.31°,?,,,,,,,,,,,,1212,14
KBO,1999 RY214,1,50 km,45.53 AU,0.185,13.68°,70.56°,327.2°,8.1°,?,,,,,,,,,,,,1213,14
KBO,2000 CY105,0,107 km,45.536 AU,0.091,10.021°,175.769°,132.824°,180.1°,?,,,,,,,,,,,,1214,14
KBO,Logos,1,39 km,45.549 AU,0.123,2.895°,339.21°,132.491°,56.495°,1 g/cm3,,,,,,,,,,,,1215,14
*,☾,Zoe,33 km,"8,217 km",0.546,?,,,,?,,,,,,,,,,,,1216,14
KBO,1999 RY215,0,123 km,45.56 AU,0.242,22.2°,50.8°,326.6°,341.8°,?,,,,,,,,,,,,1217,14
KBO,2012 BW154,0,177 km,45.578 AU,0.33,7.86°,54.55°,65.97°,34.06°,?,,,,,,,,,,,,1218,14
KBO,2014 BW64,0,111 km,45.59 AU,0.34,15.74°,101.44°,320°,46.83°,?,,,,,,,,,,,,1219,14
KBO,2013 XB26,0,119 km,45.596 AU,0.087,3.592°,285.7°,292.45°,320.16°,?,,,,,,,,,,,,1220,14
KBO,2002 CV154,0,133 km,45.67 AU,0.072,15.303°,190.883°,149.186°,178.651°,?,,,,,,,,,,,,1221,14
KBO,2007 XV50,0,276 km,45.723 AU,0.065,22.91°,272.52°,53.62°,102.2°,?,,,,,,,,,,,,1222,14
KBO,2002 VE131,0,111 km,45.735 AU,0.183,18.727°,9.956°,239.758°,180.069°,?,,,,,,,,,,,,1223,14
KBO,2014 BV64,0,262 km,45.759 AU,0.144,15.42°,344.9°,279.2°,263.3°,?,,,,,,,,,,,,1224,14
KBO,2015 AL281,0,120 km,45.77 AU,0.08,3.48°,133.78°,65.26°,308.6°,?,,,,,,,,,,,,1225,14
KBO,Chaos,0,208 km,45.796 AU,0.106,12.05°,58.41°,50.024°,337.3°,?,,,,,,,,,,,,1226,14
KBO,2010 RE188,0,126 km,45.8 AU,0.143,6.77°,210.2°,189.21°,346.8°,?,,,,,,,,,,,,1227,14
KBO,2015 FL345,0,145 km,45.86 AU,0.129,5.35°,177.6°,116.9°,294.54°,?,,,,,,,,,,,,1228,14
KBO,2013 FB28,0,140 km,45.922 AU,0.063,15.667°,173.98°,320.82°,42.497°,?,,,,,,,,,,,,1229,14
KBO,2007 TW431,0,106 km,45.944 AU,0.169,25.902°,356.681°,16.258°,0.018°,?,,,,,,,,,,,,1230,14
KBO,2003 UD292,0,107 km,45.994 AU,0.11,7.692°,207.54°,202.716°,0.05°,?,,,,,,,,,,,,1231,14
KBO,2013 FC28,0,177 km,46.001 AU,0.082,16.27°,94.6°,193.208°,255.8°,?,,,,,,,,,,,,1232,14
KBO,2014 TB86,0,112 km,46.024 AU,0.185,19.072°,330.46°,50.278°,4.5°,?,,,,,,,,,,,,1233,14
KBO,2002 XE91,0,126 km,46.095 AU,0.122,6.27°,7.09°,276.97°,186.72°,?,,,,,,,,,,,,1234,14
KBO,Varda,1,370 km,46.11 AU,0.143,21.511°,180.072°,184.151°,275.208°,1.505 g/cm3,,,,,,,,,,,,1235,14
*,☾,Ilmarë,178 km,"4,809 km",0.018,?,,,,?,,,,,,,,,,,,1236,14
KBO,2014 WX509,0,133 km,46.128 AU,0.14,12.026°,153.6°,333.7°,20.703°,?,,,,,,,,,,,,1237,14
KBO,2014 OH394,0,140 km,46.13 AU,0.17,9.69°,75.64°,290.28°,321.56°,?,,,,,,,,,,,,1238,14
KBO,2001 QC298,1,118 km,46.13 AU,0.121,30.63°,3.7°,334.79°,14.5°,?,,,,,,,,,,,,1239,14
*,☾,S/2002 (612239) 1,96 km,"3,813 km",?,?,,,,?,,,,,,,,,,,,1240,14
CEN,2013 RY108,0,69 km,46.133 AU,0.467,10.75°,4.427°,93.342°,334.849°,?,,,,,,,,,,,,1241,10
KBO,2013 JX67,0,102 km,46.14 AU,0.125,10.515°,88.858°,104.51°,49.042°,?,,,,,,,,,,,,1242,14
KBO,2014 CQ23,0,166 km,46.164 AU,0.162,8.687°,236.86°,30.646°,302.71°,?,,,,,,,,,,,,1243,14
KBO,2014 MB70,0,133 km,46.233 AU,0.109,9.276°,317.9°,351.38°,21.8°,?,,,,,,,,,,,,1244,14
KBO,2002 CW154,0,116 km,46.24 AU,0.072,26.911°,355.767°,346.434°,179.17°,?,,,,,,,,,,,,1245,14
KBO,2002 CY248,0,195 km,46.243 AU,0.148,7.049°,336.77°,300.74°,233.51°,?,,,,,,,,,,,,1246,14
KBO,2014 OZ393,0,122 km,46.26 AU,0.187,16.66°,183.41°,211.2°,18.86°,?,,,,,,,,,,,,1247,14
KBO,1998 WT31,0,93 km,46.264 AU,0.187,28.6°,40.7°,41.5°,348.6°,?,,,,,,,,,,,,1248,14
KBO,2002 CX224,0,135 km,46.3 AU,0.134,16.86°,133°,42.28°,269.6°,?,,,,,,,,,,,,1249,14
KBO,2003 WQ188,0,145 km,46.327 AU,0,5.876°,209.317°,42.915°,203.335°,?,,,,,,,,,,,,1250,14
KBO,2014 OE394,0,199 km,46.391 AU,0.12,3.932°,259.359°,308.88°,70.255°,?,,,,,,,,,,,,1251,14
KBO,2013 JW63,0,225 km,46.416 AU,0.104,7.734°,16.32°,309.54°,297.22°,?,,,,,,,,,,,,1252,14
KBO,2014 MZ69,0,135 km,46.448 AU,0.199,12.86°,251.11°,20.89°,53.44°,?,,,,,,,,,,,,1253,14
KBO,2014 QN441,0,95 km,46.47 AU,0.287,20.7°,242.9°,144.7°,10.56°,?,,,,,,,,,,,,1254,14
KBO,2006 JU58,0,106 km,46.48 AU,0.127,7.02°,255.8°,238.47°,96.7°,?,,,,,,,,,,,,1255,14
KBO,2014 GT53,0,158 km,46.49 AU,0.1,12.11°,281.02°,33.76°,284.15°,?,,,,,,,,,,,,1256,14
KBO,2000 CG105,0,121 km,46.5 AU,0.039,27.936°,91°,314.035°,102°,?,,,,,,,,,,,,1257,14
KBO,2014 YA50,0,259 km,46.531 AU,0.174,23.84°,192.5°,45.459°,309.7°,?,,,,,,,,,,,,1258,14
KBO,2014 US224,0,253 km,46.534 AU,0.112,11.038°,176.13°,317.87°,287.23°,?,,,,,,,,,,,,1259,14
CEN,2007 JK43,0,101 km,46.6 AU,0.256,44.83°,10.38°,233.54°,6.473°,?,,,,,,,,,,,,1260,10
KBO,2013 SA100,0,133 km,46.209 AU,0.165,8.489°,114.99°,27.788°,249.56°,?,,,,,,,,,,,,1261,14
KBO,2012 TE324,0,115 km,46.494 AU,0.124,5.54°,300.27°,151.85°,320.57°,?,,,,,,,,,,,,1262,14
KBO,2014 OB394,0,133 km,46.629 AU,0.249,20.739°,9.724°,8.085°,353.23°,?,,,,,,,,,,,,1263,14
KBO,2014 HW199,0,139 km,46.638 AU,0.184,15.445°,341.39°,222.71°,27.659°,?,,,,,,,,,,,,1264,14
KBO,2002 KW14,0,160 km,46.65 AU,0.202,7.75°,18.48°,309.19°,294.63°,?,,,,,,,,,,,,1265,14
KBO,2003 HP57,0,116 km,46.654 AU,0.187,37.91°,1.247°,19.062°,178.513°,?,,,,,,,,,,,,1266,14
KBO,2010 RF188,0,168 km,46.672 AU,0.297,13.89°,333.6°,178.34°,243.1°,?,,,,,,,,,,,,1267,14
KBO,2002 CC249,0,94 km,46.683 AU,0.182,0.83°,307.49°,248.25°,3.47°,?,,,,,,,,,,,,1268,14
KBO,2014 QS441,0,187 km,46.69 AU,0.054,37.93°,251°,185.97°,322.2°,?,,,,,,,,,,,,1269,14
KBO,1999 DF9,0,143 km,46.698 AU,0.147,9.811°,178.63°,334.84°,19.489°,?,,,,,,,,,,,,1270,14
KBO,1999 CL119,0,148 km,46.712 AU,0.003,23.3°,65.25°,125.17°,324.2°,?,,,,,,,,,,,,1271,14
KBO,2010 TK192,0,102 km,46.719 AU,0.121,36.5°,20.12°,24.86°,351.47°,?,,,,,,,,,,,,1272,14
KBO,2003 UA292,0,133 km,46.764 AU,0.15,11.194°,5.642°,232.197°,179.861°,?,,,,,,,,,,,,1273,14
KBO,2014 DL143,0,125 km,46.774 AU,0.219,9.388°,210°,18.88°,338.638°,?,,,,,,,,,,,,1274,14
KBO,2010 RM45,0,125 km,46.785 AU,0.159,19.06°,296.25°,87.05°,337.28°,?,,,,,,,,,,,,1275,14
KBO,2010 RO64,0,208 km,46.803 AU,0.119,15.57°,99.61°,109.7°,233.6°,?,,,,,,,,,,,,1276,14
KBO,2012 FK84,0,111 km,46.858 AU,0.17,16.47°,83.21°,134.58°,3.76°,?,,,,,,,,,,,,1277,14
KBO,2012 VB116,0,208 km,46.878 AU,0.158,23.21°,0.57°,193.41°,274.64°,?,,,,,,,,,,,,1278,14
KBO,2014 PD112,0,131 km,46.88 AU,0.187,7.73°,130.9°,12.65°,232.8°,?,,,,,,,,,,,,1279,14
KBO,2014 WV509,0,98 km,46.95 AU,0.18,25.33°,197.82°,205.5°,19.43°,?,,,,,,,,,,,,1280,14
KBO,2013 JV63,0,108 km,47 AU,0.228,8.212°,160.42°,350.4°,66°,?,,,,,,,,,,,,1281,14
KBO,2014 AM55,0,221 km,47.019 AU,0.14,7.16°,110.2°,131.822°,268.6°,?,,,,,,,,,,,,1282,14
KBO,Aya,0,384 km,47.042 AU,0.13,24.451°,297.494°,297.606°,294.532°,?,,,,,,,,,,,,1283,14
KBO,2003 UB292,0,148 km,47.1 AU,0.545,19.29°,191°,28.22°,186°,?,,,,,,,,,,,,1284,14
KBO,2010 FX86,0,258 km,47.135 AU,0.064,25.17°,347.887°,311.074°,295.094°,?,,,,,,,,,,,,1285,14
KBO,2013 EC138,0,134 km,47.144 AU,0.132,8.438°,212.933°,310.96°,339.91°,?,,,,,,,,,,,,1286,14
KBO,2014 XY40,0,226 km,47.177 AU,0.152,29.03°,38.6°,132.66°,210.5°,?,,,,,,,,,,,,1287,14
KBO,2014 OF394,0,131 km,47.214 AU,0.146,22.28°,356.07°,354.52°,7.57°,?,,,,,,,,,,,,1288,14
CEN,2016 SR105,0,59 km,47.216 AU,0.585,18.73°,6.61°,122.359°,339.176°,?,,,,,,,,,,,,1289,10
KBO,2004 XA192,0,279 km,47.216 AU,0.249,38.077°,132.632°,328.752°,356.376°,?,,,,,,,,,,,,1290,14
KBO,2015 BY518,0,111 km,47.25 AU,0.21,16.21°,334.81°,194.069°,347.74°,?,,,,,,,,,,,,1291,14
KBO,2015 BZ518,0,262 km,47.276 AU,0.182,11.35°,344.9°,43.97°,297.76°,?,,,,,,,,,,,,1292,14
KBO,2000 CO105,0,153 km,47.313 AU,0.143,19.216°,57.3°,307.24°,115.9°,?,,,,,,,,,,,,1293,14
KBO,2007 PS45,0,157 km,47.32 AU,0.193,19.55°,188.18°,131°,31.37°,?,,,,,,,,,,,,1294,14
KBO,2001 KA77,0,240 km,47.34 AU,0.09,22.8°,125.4°,239.1°,268.3°,?,,,,,,,,,,,,1295,14
KBO,2005 JK186,0,103 km,47.39 AU,0.246,27.28°,229.98°,63.21°,350.52°,?,,,,,,,,,,,,1296,14
KBO,2014 GE54,0,95 km,47.39 AU,0.252,16.99°,25.91°,134.1°,38.87°,?,,,,,,,,,,,,1297,14
KBO,1999 RB216,0,80 km,47.41 AU,0.29,12.7°,208.7°,175.7°,357.1°,?,,,,,,,,,,,,1298,14
KBO,1998 SM165,1,139 km,47.417 AU,0.37,13.521°,130.22°,183.21°,47.484°,0.51 g/cm3,,,,,,,,,,,,1299,14
*,☾,S/2001 (26308) 1,48 km,"11,310 km",?,?,,,,?,,,,,,,,,,,,1300,14
KBO,2014 WT69,0,141 km,47.43 AU,0.071,11.92°,74.93°,260.84°,65.8°,?,,,,,,,,,,,,1301,14
KBO,2013 FO28,0,102 km,47.454 AU,0.217,8.89°,262.61°,247.94°,42.09°,?,,,,,,,,,,,,1302,14
KBO,2014 DN143,0,211 km,47.45 AU,0.069,6.77°,314.1°,303.58°,285.1°,?,,,,,,,,,,,,1303,14
KBO,2004 TV357,0,103 km,47.46 AU,0.278,9.76°,201.9°,250.2°,346.4°,?,,,,,,,,,,,,1304,14
KBO,2003 UY413,0,188 km,47.492 AU,0.213,20.705°,345.57°,341.106°,48.22°,?,,,,,,,,,,,,1305,14
KBO,2012 SB67,0,118 km,47.507 AU,0.148,17.87°,151.84°,214.67°,12.52°,?,,,,,,,,,,,,1306,14
KBO,2013 CF229,0,116 km,47.529 AU,0.108,8.65°,13.53°,150.38°,340.78°,?,,,,,,,,,,,,1307,14
CEN,2011 FX62,0,91 km,47.532 AU,0.572,18.29°,232.63°,288.26°,20.92°,?,,,,,,,,,,,,1308,10
KBO,2012 VR113,0,98 km,47.57 AU,0.168,19°,220.4°,121.13°,38.2°,?,,,,,,,,,,,,1309,14
CEN,2015 QW23,0,106 km,47.614 AU,0.034,20.887°,120.007°,94.072°,113.165°,?,,,,,,,,,,,,1310,10
